,text,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise
0,"Dear friends and family, Thank you so much for the outpouring of love and support since
I had my 13 hour 'debulking' surgery for ovarian cancer at Johns Hopkins Medical Center,
where I received extraordinary care, on 8 May; I am so very grateful. Because you are all
so kind as to write, text and call me, and because I don't always have the stamina to
write individual responses, I am experimenting with this website, which will allow me to
provide some collective updates when I can't write individual notes. If you would like to
be removed from this list, please let me know. Also please feel free to *not* read any of
these updates!
I am coming along, feeling slightly more energetic, better appetite etc. and am able to
take walks in the nice weather. I still have a lot of pain in my core. I will return to Hopkins
next Tuesday for evaluations, especially concerning my stomach drainage tubes. I will
not be able to begin chemotherapy until the issue with fluid in my stomach, which the
doctors detected at the end of my stay, is resolved. Fingers crossed.
My mother returned to NY this morning but will meet me in Baltimore next week. And
Ben, who has my car in DC, will drive me back to State College next Thursday. Again, I
can't stress how generous and kind everyone has been as I try to direct my 'creativity'
towards helping regenerate my body and health. Love, Willa",3,joy,0.90459085,0.0047698566,0.0017630811,0.0010808016,0.90459085,0.049570244,0.010345402,0.027879752
1,"Thanks fo my very dear friend, Gay Morelli, today I realized a small goal I had set for
myself in the hospital: to sit beside one of the many enchanting streams in Happy Valley.
We headed for Fisherman's Paradise, a world-famous site for fly fishing, and spent two
hours lunching (1/4 of an egg salad sandwich, some cheddar cheese and some fresh
strawberries for me, which thankfully agreed with me), chatting, walking a little bit, and
enjoying the gorgeous weather. The babbling sounds of Spring Creek were very calming,
the air was fragrant, the sun warm and we saw some ebony jewelled (?) dragonflies
dancing with one another! Anyone who knows me well knows that dragonflies are one of
my personal emblems. I even had energy after that to go to Meyer Dairy for a delicious
coffee malted, most of which I saved. I was pretty exhausted when I returned a lay down
for a while before another kind friend brought over some groceries.
My surgery was one month ago. My surgeon, Dr. Anna Beavis, compared it to 'being hit
by a Mack truck and then being rolled over again the other way.' I still have a lot of pain
in my core. I have a bit more stamina and energy but get very tired by evening. My
appetite is improved.
Photo of me at Spring Creek today. I'm trying to keep up my appearance as much as
possible; it helps me.",3,joy,0.9711697,0.0011692764,0.001764799,0.00046817906,0.9711697,0.017355178,0.0039058935,0.004166975
2,"I may have tired myself out a bit from my outing yesterday, but I took a rest this
afternoon and felt better. I'm likely feeling a bit anxious about the upcoming trip to
Baltimore on Tuesday, with three days of appointments at Hopkins, CT scans, meetings
with my surgeon and liver surgeon etc. I hope I have the stamina for all of it. My mother
will be kindly joining me there. The best outcome would be to have my stomach drains
removed on the last day. We'll see.
Rabbi Ostrich nicely paid me a visit and we sat outside near my rosebush, in the sun.
Among other topics, we talked about the possibility of my learning something/s from this
difficult part of my journey (which is not the same as the 'everything happens for a
reason' idea, which I don't ascribe to at all). We also talked about a teaching I find
meaningful, from Rabbi Nachman of Breslov (an 18th/19th c. Hasidic rabbi): ""The entire
world is a narrow bridge. The most important thing is not to fear."" There are widely
varying degrees of peril or 'fraugthness' in many of our undertakings; the important
thing is not to look down when you're on that bridge and to stay focused on what needs
to be done.
I'll have company at dinner and overnight tonight (more kind friends). I also enjoyed
watching the exciting men's final at the French Open this morning!",2,fear,0.96980387,0.0019655554,0.000782011,0.96980387,0.009967771,0.010062906,0.00574419,0.0016738015
3,"Hello from Baltimore. My surgeon said I’m progressing ‘well,’ but my abdominal CT scan
revealed that the drains were no longer well positioned to drain the pocket of fluid that
needs to resolve before I can start chemo. So today I’m having a procedure to reposition
the drains. And then two more weeks of draining and antibiotics, and then back to
Hopkins in two weeks for another CT scan and drain check. Hopefully they’ll come out
then. This puts me ‘behind’ for the start of chemo, but fortunately the CT scan did not
reveal any new tumors. Thanks, everyone, for your well wishes. These ‘blips’ are not
uncommon. Patience is proving a virtue. 
Sent from CaringBridge iPhone app
  
June 13, 2019",4,neutral,0.77012813,0.010546354,0.013684927,0.12002864,0.022771956,0.77012813,0.051128477,0.01171155
4,"Back in State College. The drain repositioning went well, and I have returned home with
only one stomach drain, which makes a difference psychologically in terms of the time I
spend flushing and draining the drainage bags. My surgeon also eliminated two of my
daily medications plus a daily injection I was giving myself to prevent clotting. So that is
good. Of course, many new medications will be added when I start chemo.
I also met briefly with the liver surgeon who performed part of my operation, Dr. William
Reece Burns, who thought everything looked fine. I can't praise the medical personnel at
Hopkins highly enough; they are superbly skilled, sensitive to patients, thorough,
responsive (via email, phone etc.). I feel so fortunate to be treated there. The surgeon
who performed my 13 hour operation, Dr. Anna Beavis, must be out slaying dragons in
                         
her spare time. She totally rocks.
I have to return to Hopkins June 25-27, hopefully to have the drains removed. This is
always a bit of a logistical challenge as I don't feel comfortable driving that distance due
to the medications I'm taking, but I will figure out a solution.
My mother, who was a super trooper while she was with me in Baltimore, returned to
New York by train and Ben (who had my car in DC) picked me up and drove us home,
where he'll stay until he leaves for a business trip on Saturday. Of course I was thrilled to
have three hours of car time with my son, and some time here as well. In what must be a
good sign, I convinced Ben to let me take him to Alvaro's, the fabulous old-school Italian
bake shop/restaurant in Harrisburg that is always my midway stopping point when I'm
driving to DC. Ben had a delicious chicken parm sandwich on homemade Italian bread.
My appetite is much diminished, but I did enjoy about 1/4 of a meatball sandwich, and
we shared a homemade gelato (burnt almond/pistachio). With my digestive tract
'rewired,' I'm nowhere near my normal levels of 'foodiness,' but hopefully I'll get back
there at some future point.
Thanks, everyone, for all the texts, messages, emails. Sooo appreciated. Big love,",3,joy,0.7264018,0.0028268027,0.004722436,0.0038045975,0.7264018,0.22337574,0.015404413,0.023464255
5,"Not too much to report. It was wonderful having Ben here for a few days (he's gone back
to DC now); his presence was immensely comforting and he helped me with shopping,
cleaning and other chores around the house. We also took a few walks and I was able to
walk further than I had previously. I had my final visits with the PT and visiting nurse, so I
am pretty much 'solo' right now, while many kind friends continue to bring meals,
flowers, and themselves as visitors. I think I'm managing ok, although I can start feeling
overwhelmed quickly. I have to try to stay 'on task' with exercises and walks, staying
ultra-hydrated etc. I did take a long nap this afternoon, though. My body likely needs
                        
that time to heal. Thank you, everyone, for the recent texts, emails and msgs.",5,sadness,0.81125855,0.0043075085,0.0009516474,0.0843038,0.01597956,0.01132976,0.81125855,0.07186914
6,"I have been 'solo' for a few days now, and am feeling a bit mixed about it. It's very
peaceful, and I've been sleeping a lot, both at night and in the afternoon. I guess my
body needs the rest. I'm finding it a bit hard to get motivated to do things, even take a
shower. I can't tell whether I'm depressed or just tired -- or both. A few friends have
come by to visit and that has lifted my spirits.
I'm feeling some tightening in my core, which I think may be muscle and tissue getting
stronger. At least I hope that's what it is. It is easier for me to walk than it was previously
- I twice walked ten long laps of my house today without much difficulty.
                        
I am getting connected to a network at Hopkins that pairs survivors with those going
through treatment, like me. I hope that will be helpful. I've also looked into a support
network here for women dealing with gyn cancers, run by one of my neighbors/fellow JCC
congregants. I realized that I recognized one name already on the list of members. Not
feeling too alone while on the 'narrow bridge' will, I think, be key for me.
Thanks, everyone, for the texts and emails, yummy food and other acts of caring and
kindness. XO",5,sadness,0.4743872,0.0037757684,0.0074101514,0.016195742,0.38640678,0.104049094,0.4743872,0.007775242
7,"Today I had a consultation with Dr. Hegstrom, the surgeon who will place a port in my
chest through which I'll receive chemo and fluids. While I'm assured by others that this is
a fairly simple outpatient procedure -- it takes about fifteen minutes and I'll be lightly
sedated -- the list of potential risks (eg a lung collapsing) is always scary to hear. If all
goes as planned, the port will be inserted on 1 July. While Dr. Hegstrom also expressed
some concern about my stomach infection not being resolved, which might in turn
impact the port placement, in the end he seemed to feel fairly confident (by looking at
the fluid in my drainage bag) that my remaining stomach drain would indeed be
removed next week. Let's hope so.
As the scale revealed that I've lost 10-15 pounds since surgery, and to take the edge off
the visit with the surgeon, I treated myself to a small Dairy Queen cone after the
appointment.
My wonderful friend Maria came over for tea and a good chat. Then my equally
wonderful friend Monique came by with a yummy and nutritious looking dinner of tilapia,
zucchini and potatoes, which I look forward to trying soon. The visits from friends are so
uplifting and so essential to my recovery.
A college friend who had just heard about my health situation from another classmate
wrote to tell me that she had learned that I was ""very ill."" This made me wonder if I am,
in fact, very ill. While ovarian cancer can be notoriously aggressive, I am preferring to
focus on the fact that I came out of major surgery very well (aside from the hopefully
soon to be resolved stomach drain issue), that I am moving forward to the next stage of
my treatment, and that I am receiving superb medical care from doctors fully committed
to giving me the best possible shot at a good recovery. Also: I'm a trooper.
My core has been feeling stronger the past two days. As a result, I feel less winded, can
stand taller because my ribs and diaphragm are not aching as much, and can walk with
more stamina. I hope this trend continues.",2,fear,0.90121925,0.002082921,0.002858149,0.90121925,0.035320956,0.040482044,0.009879598,0.008157102
8,"Not much new to report. Via UPS this morning I received a well chilled supply of
Neulasta, a drug that I will be taking after each chemo treatment to help me regenerate
white blood cells. I've also continued to start getting plugged into various support
groups/networks, one an online support group run by cancercare.org, the other a
'mentorship' program run by Hopkins. Today I was paired with my 'mentor,' a survivor
who lives in the Lewistown area, ie not far from State College. I hope to speak with her
soon.
As mentioned, my core continues to feel a bit stronger but I feel that I must push myself
harder to take walks, exercise etc. Not always that easy when I'm solo, as I'm not really
supposed to walk unaccompanied. Tomorrow, though, I am hoping to spend some time
with my friend Maria at the Penn State Arboretum, where we'll surely stroll through the
beautiful gardens.
But I did push myself to get to services tonight, and I'm glad I did. I was able to get rides
there and back. It was nice to be with my Jewish community and to see several people
who know about my health challenges and who have been expressing concern in writing
but not yet in person. I am not quite sure who in my congregation knows and that is
slightly awkward, but it's also ok. The congregation is another source of comfort, caring
and 'uplift,' and some of the prayers are as well. The line that always resonates with me,
from the prayer for a peaceful sabbath night is: ""May you walk with good companions."" I
                        
most certainly do, and am most grateful for that.",3,joy,0.8508481,0.002030095,0.0028673476,0.0075988914,0.8508481,0.09993648,0.023677781,0.013041287
9,"Grateful to several friends who provided cheer today. My friend Maria and I enjoyed
strolling and chatting in the beautiful Penn State arboretum on a perfect June day. It's a
gorgeous spot, and a real asset to our campus and town. We loved admiring the many
different types of flowers, plants and trees in magnificent summer bloom and also
cheered on a bride processing to her ceremony under a big tent in the arboretum. See
pics below. Having lost about 15 lbs (but yes, what a way to lose weight...) and feeling
increasingly stronger post-surgery, I'm probably wanting to preserve this image of me for
later visualization, as I'm sure I won't look this way once chemo starts. Sigh.
My dear friends/colleagues Kathryn and John not only cooked me dinner -- delicious
steaks from a new butcher in town, grilled to perfection -- but also shared the meal with
me so we could catch up after not having seen one another in a while. It was lovely to
spend time with them. 
Photos",3,joy,0.97286844,0.0017194423,0.0048130383,0.00056172954,0.97286844,0.0087670665,0.009107196,0.0021630824
